date,hour,avg_price,min_price,max_price,first_price,last_price,data_points,calculated_at
2026-03-08,22,67218.234783533,67170.06549924,67239.56249466,67234.06043136,67170.06549924,10,2026-03-08 22:09:24
2026-03-08,22,67204.46749113727,67066.79456718,67239.56249466,67234.06043136,67066.79456718,11,2026-03-08 22:10:24
2026-03-08,22,67190.52796677916,67037.19319884,67239.56249466,67234.06043136,67037.19319884,12,2026-03-08 22:11:24
2026-03-08,22,67176.95622072999,67014.09526814,67239.56249466,67234.06043136,67014.09526814,13,2026-03-08 22:12:24
2026-03-08,22,67163.50475331214,66988.63567688,67239.56249466,67234.06043136,66988.63567688,14,2026-03-08 22:13:24
2026-03-08,22,67142.41002955467,66847.08389695,67239.56249466,67234.06043136,66847.08389695,15,2026-03-08 22:14:23
2026-03-08,22,67122.08420372938,66817.19681635,67239.56249466,67234.06043136,66817.19681635,16,2026-03-08 22:15:23
2026-03-08,22,67103.86248301766,66812.31495163,67239.56249466,67234.06043136,66812.31495163,17,2026-03-08 22:16:23
2026-03-08,22,67087.4976777089,66809.29598746,67239.56249466,67234.06043136,66809.29598746,18,2026-03-08 22:17:24
2026-03-08,22,67072.48525669632,66802.26167847,67239.56249466,67234.06043136,66802.26167847,19,2026-03-08 22:18:24
2026-03-08,22,67060.78825751052,66802.26167847,67239.56249466,67234.06043136,66838.54527298,20,2026-03-08 22:19:24
2026-03-08,22,67051.11829067192,66802.26167847,67239.56249466,67234.06043136,66857.7189539,21,2026-03-08 22:20:24
2026-03-08,22,67042.98497932228,66802.26167847,67239.56249466,67234.06043136,66872.18544098,22,2026-03-08 22:21:23
2026-03-08,22,67036.11190771653,66802.26167847,67239.56249466,67234.06043136,66884.90433239,23,2026-03-08 22:22:23
2026-03-08,22,67029.83314106458,66802.26167847,67239.56249466,67234.06043136,66885.42150807,24,2026-03-08 22:22:30
2026-03-08,22,67024.3805094468,66802.26167847,67239.56249466,67234.06043136,66893.51735062,25,2026-03-08 22:23:29
2026-03-08,22,67019.80050072845,66802.26167847,67239.56249466,67234.06043136,66905.30028277,26,2026-03-08 22:24:29
2026-03-08,22,67016.70906059592,66802.26167847,67239.56249466,67234.06043136,66936.33161715,27,2026-03-08 22:25:29
2026-03-08,22,67014.21862253107,66802.26167847,67239.56249466,67234.06043136,66946.97679478,28,2026-03-08 22:26:30
